Group;Species;Branch;Rep;MPa;PLC
1;dpap;32;1.1;-0.26;8.26
1;dpap;32;1.2b;-2.16;60.96
1;dpap;3025;1.1;-3.68;100.00
1;dpap;3025;1.2;-3.72;65.30
1;dpap;3050;1.1;-0.22;18.53
1;dpap;3050;2.1;-3.41;73.77
1;dpap;3050;2.2;-3.74;74.85
1;dpap;4022;1.1;-1.16;7.17
1;dpap;4022;1.2;-1.31;0.00
1;dpap;4050;1.1;-1.67;26.28
1;dpap;4050;1.2;-2.20;54.23
1;dpap;4050;1.3;-2.40;41.04
1;dpap;4055;1.1;-2.82;38.54
1;dpap;4055;1.2;-2.43;35.08
1;dpap;4055;1.3;-2.14;25.10
1;dpap;4055;1.4a;-3.71;50.80
1;dpap;4055;1.5;-5.27;100.00
1;dpap;7032;1.1;-4.45;100.00
1;dpap;7084;1.1;-0.19;2.94
1;dpap;7084;1.2;-0.77;3.85
1;dpap;7084;1.3;-1.88;37.08
2;egran;514;1.1;-0.05;1.42
2;egran;514;1.2;-0.13;0.00
2;egran;514;1.3;-2.22;1.89
2;egran;514;1.4;-2.05;11.81
2;egran;515;1.1;-1.63;26.31
2;egran;515;1.2;-2.45;12.78
2;egran;515;1.3a;-2.97;20.72
2;egran;515;1.4;-4.55;81.18
2;egran;539;1.1;-2.73;70.75
2;egran;539;1.2;-4.95;100.00
2;egran;539;1.3;-4.55;100.00
2;egran;1002;1.1;-0.63;9.07
2;egran;1002;1.2;-0.80;7.01
2;egran;1002;1.3;-1.43;2.58
2;egran;1002;1.4;-3.20;34.15
2;egran;1002;1.5;-2.37;39.72
2;egran;1002;1.6;-3.56;67.17
2;egran;2618;1.1;-0.99;8.92
2;egran;2618;1.2;-1.04;2.22
2;egran;4077;1.1;-2.90;59.66
2;egran;4077;1.2;-3.97;100.00
3;ssay;1005;1.1;-1.34;28.98
3;ssay;3032;1.1;-0.57;13.08
3;ssay;3032;1.2;-1.75;30.51
3;ssay;3032;1.3;-2.02;54.14
3;ssay;3044;1.1;-1.18;14.73
3;ssay;3044;1.2;-1.48;25.14
3;ssay;3044;1.3;-2.00;33.22
3;ssay;3044;1.4;-2.18;53.93
3;ssay;3044;1.5;-2.47;19.94
3;ssay;3044;1.6;-3.04;87.57
3;ssay;4065;1.1;-0.30;21.92
3;ssay;4065;1.2;-0.28;15.78
3;ssay;4065;2.1;-2.35;54.05
3;ssay;4065;2.2;-2.57;100.00
3;ssay;5025;1.1;-0.32;5.97
3;ssay;5025;1.2;-0.35;6.63
3;ssay;5025;1.3;-3.30;100.00
3;ssay;7039;1.1;-2.55;82.55
3;ssay;7039;1.2;-3.00;88.10
