Group;Species;Organ;Rep;Label;Timestamp;Hours;Branch;MPa;CumulHits;CumulPercent
1;dpap;leaf;1;dpap.1l;10.12.2012 14:00;0.15;4055;-1.35;1;2.86
1;dpap;leaf;1;dpap.1l;10.12.2012 15:13;1.36;4055;-2.28;35;100
1;dpap;leaf;1;dpap.1l;10.12.2012 18:01;4.16;4055;-2.6;35;100
1;dpap;leaf;1;dpap.1l;11.12.2012 00:01;10.16;4055;-3.24;35;100
1;dpap;leaf;1;dpap.1l;11.12.2012 06:16;16.41;4055;-4.1;35;100
1;dpap;leaf;1;dpap.1l;11.12.2012 11:04;21.21;4055;-5.46;35;100
1;dpap;leaf;1;dpap.1l;11.12.2012 17:41;27.82;4055;-5.3;35;100
1;dpap;leaf;1;dpap.1l;12.12.2012 14:57;49.09;4055;-12;35;100
1;dpap;leaf;2;dpap.2l;10.12.2012 14:00;0.15;4050;-0.11;0;0
1;dpap;leaf;2;dpap.2l;10.12.2012 15:13;1.36;4050;-0.57;1;14.29
1;dpap;leaf;2;dpap.2l;10.12.2012 18:01;4.16;4050;-1.9;3;42.86
1;dpap;leaf;2;dpap.2l;11.12.2012 00:01;10.16;4050;-2.32;7;100
1;dpap;leaf;2;dpap.2l;11.12.2012 06:16;16.41;4050;-2.5;7;100
1;dpap;leaf;2;dpap.2l;11.12.2012 11:04;21.21;4050;-2.78;7;100
1;dpap;leaf;2;dpap.2l;11.12.2012 17:41;27.82;4050;-3.41;7;100
1;dpap;leaf;2;dpap.2l;12.12.2012 14:57;49.09;4050;-4.59;7;100
1;dpap;leaf;2;dpap.2l;12.12.2012 21:01;55.16;4050;-3.91;7;100
1;dpap;leaf;2;dpap.2l;13.12.2012 06:44;64.88;4050;-4.38;7;100
1;dpap;leaf;2;dpap.2l;13.12.2012 12:16;70.41;4050;-5.47;7;100
1;dpap;leaf;3;dpap.3l;17.12.2012 14:03;0.29;7032;-1.85;4;19.05
1;dpap;leaf;3;dpap.3l;17.12.2012 15:04;1.31;7032;-2.32;20;95.24
1;dpap;leaf;3;dpap.3l;17.12.2012 16:22;2.61;7032;-2.41;21;100
1;dpap;leaf;3;dpap.3l;17.12.2012 23:50;10.07;7032;-3.43;21;100
1;dpap;leaf;3;dpap.3l;18.12.2012 10:06;20.34;7032;-4.78;21;100
1;dpap;leaf;3;dpap.3l;18.12.2012 13:36;23.84;7032;-6.5;21;100
2;egran;leaf;1;egran.1l;14.12.2012 08:40;0;1002;-0.2;0;0
2;egran;leaf;1;egran.1l;14.12.2012 09:59;1.32;1002;-0.75;17;3.07
2;egran;leaf;1;egran.1l;14.12.2012 10:50;2.17;1002;-1.17;34;6.14
2;egran;leaf;1;egran.1l;14.12.2012 11:52;3.21;1002;-1.43;67;12.09
2;egran;leaf;1;egran.1l;14.12.2012 13:02;4.37;1002;-1.54;108;19.49
2;egran;leaf;1;egran.1l;14.12.2012 14:15;5.59;1002;-1.58;158;28.52
2;egran;leaf;1;egran.1l;14.12.2012 15:51;7.19;1002;-1.83;191;34.48
2;egran;leaf;1;egran.1l;14.12.2012 20:06;11.43;1002;-2.1;465;83.94
2;egran;leaf;1;egran.1l;14.12.2012 22:48;14.14;1002;-2.57;554;100
2;egran;leaf;1;egran.1l;15.12.2012 06:06;21.44;1002;-2.85;554;100
2;egran;leaf;1;egran.1l;15.12.2012 20:36;35.94;1002;-4.79;554;100
2;egran;leaf;2;egran.2l;14.12.2012 08:40;0;515;-0.12;0;0
2;egran;leaf;2;egran.2l;14.12.2012 09:59;1.32;515;-0.38;0;0
2;egran;leaf;2;egran.2l;14.12.2012 10:50;2.17;515;-0.88;2;3.77
2;egran;leaf;2;egran.2l;14.12.2012 11:52;3.21;515;-1.21;6;11.32
2;egran;leaf;2;egran.2l;14.12.2012 13:02;4.37;515;-1.41;12;22.64
2;egran;leaf;2;egran.2l;14.12.2012 14:15;5.59;515;-1.5;16;30.19
2;egran;leaf;2;egran.2l;14.12.2012 15:51;7.19;515;-1.82;21;39.62
2;egran;leaf;2;egran.2l;14.12.2012 20:06;11.43;515;-2.12;40;75.47
2;egran;leaf;2;egran.2l;14.12.2012 22:48;14.14;515;-2.49;53;100
2;egran;leaf;2;egran.2l;15.12.2012 06:06;21.44;515;-2.5;53;100
2;egran;leaf;2;egran.2l;15.12.2012 20:36;35.94;515;-4.29;53;100
2;egran;leaf;2;egran.2l;16.12.2012 01:10;40.5;515;-7.6;53;100
2;egran;leaf;3;egran.3l;17.12.2012 14:03;0.29;2018;-0.35;0;0
2;egran;leaf;3;egran.3l;17.12.2012 15:04;1.31;2018;-0.98;0;0
2;egran;leaf;3;egran.3l;17.12.2012 16:22;2.61;2018;-1.37;6;37.5
2;egran;leaf;3;egran.3l;17.12.2012 23:50;10.07;2018;-2.31;15;93.75
2;egran;leaf;3;egran.3l;18.12.2012 10:06;20.34;2018;-3.11;16;100
2;egran;leaf;3;egran.3l;18.12.2012 13:36;23.84;2018;-3.87;16;100
2;egran;leaf;3;egran.3l;19.12.2012 06:33;40.78;2018;-5.8;16;100
3;ssay;leaf;1;ssay.1l;05.12.2012 14:26;0;4065;-0.19;0;0
3;ssay;leaf;1;ssay.1l;05.12.2012 16:29;2.05;4065;-1.32;65;40.37
3;ssay;leaf;1;ssay.1l;05.12.2012 17:33;3.11;4065;-1.68;94;58.39
3;ssay;leaf;1;ssay.1l;05.12.2012 18:53;4.45;4065;-1.82;114;70.81
3;ssay;leaf;1;ssay.1l;05.12.2012 21:50;7.39;4065;-2.02;151;93.79
3;ssay;leaf;1;ssay.1l;06.12.2012 08:30;18.07;4065;-2.22;161;100
3;ssay;leaf;1;ssay.1l;06.12.2012 10:39;20.21;4065;-2.27;161;100
